alarmId,timestamp,status,alarmName,alarmType,attackerIP,victimIP,attackerPort,victimPort,risk,stats
421D8A7B90FF11EA9FC944A8168FA4E8,2020-05-08 07:44:02,open,"directive_event: Misc, suspicious executable download from a bad IP reputation site on non-common port on DST_IP",Misc,10.0.8.9,192.168.3.140,53463,22,1,"{""events"":5,""src"":{""ip"":{""10.0.8.9"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""NULL""}},""port"":{""53312"":1,""53089"":1,""53628"":1,""53463"":1,""53787"":1},""rep"":0,""country"":{""--"":5}},""dst"":{""ip"":{""192.168.3.140"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""0x421d8a7b7ad611eab05c44a86ab936a4""}},""port"":{""22"":5},""rep"":0,""country"":{""--"":5}}}"
421D8A7B90FF11EA9FC944A8168FA4E8,2020-05-08 07:44:02,open,OTX Pulse: PULSE,Misc,10.0.8.9,192.168.3.140,53463,22,1,"{""events"":5,""src"":{""ip"":{""10.0.8.9"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""NULL""}},""port"":{""53312"":1,""53089"":1,""53628"":1,""53463"":1,""53787"":1},""rep"":0,""country"":{""--"":5}},""dst"":{""ip"":{""192.168.3.140"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""0x421d8a7b7ad611eab05c44a86ab936a4""}},""port"":{""22"":5},""rep"":0,""country"":{""--"":5}}}"
421D8A7B90FF11EA9FC944A8168FA4E8,2020-05-08 07:44:02,open,OTX Pulse: PULSE,Misc,10.0.8.9,192.168.3.140,53463,22,1,"{""events"":5,""src"":{""ip"":{""10.0.8.9"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""NULL""}},""port"":{""53312"":1,""53089"":1,""53628"":1,""53463"":1,""53787"":1},""rep"":0,""country"":{""--"":5}},""dst"":{""ip"":{""192.168.3.140"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""0x421d8a7b7ad611eab05c44a86ab936a4""}},""port"":{""22"":5},""rep"":0,""country"":{""--"":5}}}"
421D8A7B90FF11EA9FC944A8168FA4E8,2020-05-08 07:44:02,open,"directive_event: Network scan, SIP service discovery activity from SRC_IP",Scan,10.0.8.9,192.168.3.140,53463,22,1,"{""events"":5,""src"":{""ip"":{""10.0.8.9"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""NULL""}},""port"":{""53312"":1,""53089"":1,""53628"":1,""53463"":1,""53787"":1},""rep"":0,""country"":{""--"":5}},""dst"":{""ip"":{""192.168.3.140"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""0x421d8a7b7ad611eab05c44a86ab936a4""}},""port"":{""22"":5},""rep"":0,""country"":{""--"":5}}}"
421D8A7B90FF11EA9FC944A8168FA4E8,2020-05-08 07:44:02,open,"directive_event: Network scan, SSH service discovery activity from SRC_IP",Scan,10.0.8.9,192.168.3.140,53463,22,1,"{""events"":5,""src"":{""ip"":{""10.0.8.9"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""NULL""}},""port"":{""53312"":1,""53089"":1,""53628"":1,""53463"":1,""53787"":1},""rep"":0,""country"":{""--"":5}},""dst"":{""ip"":{""192.168.3.140"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""0x421d8a7b7ad611eab05c44a86ab936a4""}},""port"":{""22"":5},""rep"":0,""country"":{""--"":5}}}"
421D8A7B90FF11EA9FC944A8168FA4E8,2020-05-08 07:44:02,open,"directive_event: Network scan, Nikto web vulnerability assessment tool usage against DST_IP",Scan,10.0.8.9,192.168.3.140,53463,22,1,"{""events"":5,""src"":{""ip"":{""10.0.8.9"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""NULL""}},""port"":{""53312"":1,""53089"":1,""53628"":1,""53463"":1,""53787"":1},""rep"":0,""country"":{""--"":5}},""dst"":{""ip"":{""192.168.3.140"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""0x421d8a7b7ad611eab05c44a86ab936a4""}},""port"":{""22"":5},""rep"":0,""country"":{""--"":5}}}"
421D8A7B90FF11EA9FC944A8168FA4E8,2020-05-08 07:44:02,open,"directive_event: Network scan, DirBuster web scanner usage against DST_IP",Scan,10.0.8.9,192.168.3.140,53463,22,1,"{""events"":5,""src"":{""ip"":{""10.0.8.9"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""NULL""}},""port"":{""53312"":1,""53089"":1,""53628"":1,""53463"":1,""53787"":1},""rep"":0,""country"":{""--"":5}},""dst"":{""ip"":{""192.168.3.140"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""0x421d8a7b7ad611eab05c44a86ab936a4""}},""port"":{""22"":5},""rep"":0,""country"":{""--"":5}}}"
421D8A7B90FF11EA9FC944A8168FA4E8,2020-05-08 07:44:02,open,"directive_event: Network scan, VNC service discovery from SRC_IP",Scan,10.0.8.9,192.168.3.140,53463,22,1,"{""events"":5,""src"":{""ip"":{""10.0.8.9"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""NULL""}},""port"":{""53312"":1,""53089"":1,""53628"":1,""53463"":1,""53787"":1},""rep"":0,""country"":{""--"":5}},""dst"":{""ip"":{""192.168.3.140"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""0x421d8a7b7ad611eab05c44a86ab936a4""}},""port"":{""22"":5},""rep"":0,""country"":{""--"":5}}}"
421D8A7B90FF11EA9FC944A8168FA4E8,2020-05-08 07:44:02,open,"directive_event: Network scan, Microsoft Remote Desktop service discovery from SRC_IP",Scan,10.0.8.9,192.168.3.140,53463,22,1,"{""events"":5,""src"":{""ip"":{""10.0.8.9"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""NULL""}},""port"":{""53312"":1,""53089"":1,""53628"":1,""53463"":1,""53787"":1},""rep"":0,""country"":{""--"":5}},""dst"":{""ip"":{""192.168.3.140"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""0x421d8a7b7ad611eab05c44a86ab936a4""}},""port"":{""22"":5},""rep"":0,""country"":{""--"":5}}}"
421D8A7B90FF11EA9FC944A8168FA4E8,2020-05-08 07:44:02,open,"directive_event: Network scan, SSH outbound scanning behaviour detected from SRC_IP",Scan,10.0.8.9,192.168.3.140,53463,22,1,"{""events"":5,""src"":{""ip"":{""10.0.8.9"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""NULL""}},""port"":{""53312"":1,""53089"":1,""53628"":1,""53463"":1,""53787"":1},""rep"":0,""country"":{""--"":5}},""dst"":{""ip"":{""192.168.3.140"":{""count"":5,""rep"":0,""country"":""--"",""uuid"":""0x421d8a7b7ad611eab05c44a86ab936a4""}},""port"":{""22"":5},""rep"":0,""country"":{""--"":5}}}"
